species_id,scientific_name,common_name,status,kingdom,detail_url,image_url
27864,Myristica maingayi,Penarahan Arang Bukit,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=27864,https://cms.mybis.gov.my/img/plant.png
27868,Myristica malaccensis,,Near Threat,Plantae,https://www.mybis.gov.my/one/profile.php?sid=27868,https://cms.mybis.gov.my/img/plant.png
27871,Myristica maxima,Penarahan Arang,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=27871,https://cms.mybis.gov.my/img/plant.png
44712,Myristica wyatt-smithii,,Near Threat,Plantae,https://www.mybis.gov.my/one/profile.php?sid=44712,https://cms.mybis.gov.my/img/plant.png
27941,Nenga macrocarpa,Large-fruited Nenga Palm,Not Evaluated,Plantae,https://www.mybis.gov.my/one/profile.php?sid=27941,https://cms.mybis.gov.my/thumbnail/s300_646.jpeg
16836,Neobalanocarpus heimii,Chengal,Near Threat,Plantae,https://www.mybis.gov.my/one/profile.php?sid=16836,https://cms.mybis.gov.my/thumbnail/s300_13053.jpeg
15206,Nepenthes gracilis,Periuk Kera,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=15206,https://cms.mybis.gov.my/thumbnail/s300_2095.jpeg
5079,Nephelium costatum,,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=5079,https://cms.mybis.gov.my/img/plant.png
5977,Nephelium cuspidatum,Lotong,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=5977,https://cms.mybis.gov.my/thumbnail/s300_913.jpeg
16657,Nephelium hamulatum,,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=16657,https://cms.mybis.gov.my/img/plant.png
47023,Nephelium lappaceum,Rambutan Hutan,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=47023,https://cms.mybis.gov.my/thumbnail/s300_915.jpeg
47031,Nephelium laurinum,Geril,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=47031,https://cms.mybis.gov.my/img/plant.png
27984,Nephelium maingayi,Redan,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=27984,https://cms.mybis.gov.my/thumbnail/s300_918.jpeg
36213,Nephelium subfalcatum,,Near Threat,Plantae,https://www.mybis.gov.my/one/profile.php?sid=36213,https://cms.mybis.gov.my/img/plant.png
1122,Nephrolepis biserrata,Paku Uban and Sword Fern,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=1122,https://cms.mybis.gov.my/thumbnail/s300_817.jpeg
5955,Nephrolepis davallioides,,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=5955,https://cms.mybis.gov.my/thumbnail/s300_821.jpeg
12021,Nephrolepis falciformis,Paku Uban,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=12021,https://cms.mybis.gov.my/thumbnail/s300_822.jpeg
29686,Neuropeltis racemosa,,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=29686,https://cms.mybis.gov.my/thumbnail/s300_9503.jpeg
12042,Ochanostachys amentacea,Petaling,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=12042,https://cms.mybis.gov.my/thumbnail/s300_5594.jpeg
16490,Olax imbricata,,Near Threat,Plantae,https://www.mybis.gov.my/one/profile.php?sid=16490,https://cms.mybis.gov.my/img/plant.png
6365,Oleandra cumingii,,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=6365,https://cms.mybis.gov.my/thumbnail/s300_825.jpeg
6876,Oreogrammitis congener,,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=6876,https://cms.mybis.gov.my/thumbnail/s300_1763.jpeg
41199,Oreogrammitis reinwardtii,,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=41199,https://cms.mybis.gov.my/img/plant.png
41443,Palaquium rostratum,Nyatoh Sidang,Not Evaluated,Plantae,https://www.mybis.gov.my/one/profile.php?sid=41443,https://cms.mybis.gov.my/img/plant.png
66357,Palhinhaea cernua,Paku Serani,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=66357,https://cms.mybis.gov.my/thumbnail/s300_2022.jpeg
52742,Parahemionitis cordata,,Near Threat,Plantae,https://www.mybis.gov.my/one/profile.php?sid=52742,https://cms.mybis.gov.my/img/plant.png
41769,Parameria polyneura,Serapat,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=41769,https://cms.mybis.gov.my/img/plant.png
28332,Paranephelium macrophyllum,Gesiar,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=28332,https://cms.mybis.gov.my/img/plant.png
